"新邵县",213712,223918,209238,221327,247903,286498,284863,327232,393933,481928,491238,590453,752618,859086,949427,1065136
"邵阳县",239998,209053,187947,208204,219935,256128,302678,343773,400362,492233,532255,652602,810855,903124,994487,1113475
"隆回县",269345,277986,275362,294701,313433,354825,359694,407334,478310,571381,625361,755376,933207,1051084,1121665,1260668
"洞口县",267592,285403,292779,322650,358578,418128,399438,451417,522949,597701,586614,707587,901212,1028583,1133207,1256758
"绥宁县",167723,180108,150914,166328,184519,208420,228449,264445,319392,337541,332033,407093,501845,565806,622655,690487
"新宁县",159978,157656,144901,154117,167391,201832,208249,236332,282325,330797,363635,432672,530747,606463,672063,754080
"城步苗族自治县",58333,62454,65954,77581,88613,104319,136446,147245,159351,182505,159691,186951,232063,256951,272609,301494
"武冈市",233820,253190,229555,240079,260198,310504,328534,372399,427611,525262,530590,619692,793257,904674,954211,1070581
"岳阳县",314141,331804,371951,430878,458974,518162,562973,600028,779065,962528,1105683,1356338,1660654,1897397,2117214,2375640
"华容县",328060,380438,384983,439045,501007,577341,631337,736052,934359,1143484,1340889,1652830,2038826,2165414,2406848,2656114
"湘阴县",302067,336145,387309,451361,504725,568268,630911,714721,894775,1073384,1293730,1587368,1956926,2326467,2602271,2919958
"平江县",303432,284060,314011,386483,399039,465834,516652,596908,736297,891192,976422,1169663,1432382,1644417,1834183,1987672
"汨罗市",298364,320000,361978,429932,468100,535504,545889,646602,850915,1028192,1362656,1649361,2598537,2954848,3289940,3651068
"临湘市",189678,201026,223799,298364,311581,365200,353349,411336,538195,708123,960060,1155185,1408843,1596772,1790214,1977417
"安乡县",217187,237905,260693,289118,330340,382493,476050,532601,626033,699606,836631,1015612,1201823,1248220,1283177,1351107
"汉寿县",293190,312250,326520,355059,354536,440645,505415,578267,664125,834017,984098,1165110,1396724,1578790,1807631,2008810
"澧县",365140,394871,442117,492967,557874,652208,652693,738100,870160,1008902,1264763,1502799,1811741,2032238,2262009,2525276
"临澧县",237070,238406,250925,291787,309077,347010,389381,433430,503158,554907,662559,783463,929213,1035455,1162603,1279136
"桃源县",562502,594032,582317,547098,573320,702386,712914,798212,935908,1093673,1266330,1495127,1757898,1960257,2214848,2507804
"石门县",266239,280170,312701,346127,386150,476966,554252,619619,693250,766746,1031954,1222254,1464056,1629301,1805644,1938447
"津市市",113743,120161,139075,160632,180745,214434,264634,298424,356022,424904,525528,637243,777446,870687,969690,1067431
"慈利县",185357,200298,198736,206322,231868,263727,350960,400546,489532,555806,667924,804282,1010972,1137805,1239487,1380589
"桑植县",67895,74155,78155,84876,93683,110319,174919,204417,247876,286784,329043,395327,485617,561545,605568,679164
"南县",229807,222650,237634,252262,282665,375504,386333,427162,516250,620338,885144,878616,1367731,1556802,1723792,1922747
"桃江县",200056,217210,214285,237161,263406,324957,416763,480416,600553,751288,893102,1065293,1311938,1516209,1684096,1880764
"安化县",265019,288132,216851,234485,260956,327361,385125,440687,535554,633287,750570,885044,1117235,1322533,1464844,1628404
"沅江市",319531,338836,331287,361874,403305,499855,573214,654909,798473,959635,994019,1231887,1527911,1760340,1951252,2176509
"桂阳县",325924,358932,383942,400349,441863,534128,639425,756850,927802,1071430,1230015,1583783,2000242,2302318,2564619,2897962
"宜章县",223808,247224,236169,275716,306130,386722,471742,547684,541101,648416,534129,682347,921012,1045521,1471860,1666622
"永兴县",272602,300328,296873,316525,362060,448296,539727,630371,805122,974702,1095805,1518089,1888204,2138179,2377025,2668239
"嘉禾县",156356,169892,168062,192915,210119,249585,299627,346927,411645,485843,539243,679210,850054,960819,1069380,1184550
"临武县",129854,144273,157689,181640,218750,273454,342543,355890,419571,402487,462179,588575,723479,819107,903898,1002902
"汝城县",121228,137071,143843,134510,167485,216608,285048,318563,300390,224454,204728,262807,333055,375595,419286,468475
"桂东县",39696,42850,46116,51387,55546,67532,77387,89264,96309,108698,115161,137030,172991,195591,218764,245417
"安仁县",140916,136120,123375,174394,199258,251311,295569,354258,302753,319851,275855,343095,437780,494121,602255,698497
"资兴市",290311,318969,296985,327318,390300,492205,588009,655286,829552,1051324,1197369,1561434,1967476,2226103,2473685,2770768
"祁阳县",384558,402679,356612,403469,466223,553193,636511,728352,878453,1011715,1071985,1285662,1587599,1770528,1965172,2186845
"东安县",269275,294587,280492,294935,323702,377605,384185,439790,543377,626682,698912,836873,1026775,1149536,1271995,1386090
"双牌县",67586,73017,66257,73168,82890,98484,127433,150441,162382,207607,224766,272826,334549,372799,407325,464533
"道县",277592,290503,255453,278284,300957,348884,361494,414623,512890,600968,659592,791643,979556,1103406,1235709,1387282
"江永县",96304,101067,109440,112791,129092,149587,149415,164771,201743,229625,237105,290446,355976,401225,444801,474774
"宁远县",214030,235627,187480,217813,208115,245650,293099,335818,415321,489390,531210,635523,789722,898432,1005338,1092862
"蓝山县",111542,120707,131398,122091,134389,163602,219288,253400,312715,363218,389784,470041,588130,662716,735176,810919
"新田县",101639,106067,109125,107241,111543,130535,171405,192317,235814,271098,296590,340131,423861,477643,529462,575916
"江华瑶族自治县",131559,128861,131845,124472,130784,150446,199021,229153,284039,351604,393999,470294,576450,655587,736431,846989
"中方县",108978,118574,96828,102321,113105,137457,165394,188816,237188,324279,374768,488465,619370,733213,818503,861140
"沅陵县",261010,264034,279168,319340,348620,397364,426733,486972,608254,705137,788953,953636,1192590,1415597,1557832,1639506
"辰溪县",117978,121510,120463,130322,141674,166401,217756,251059,310443,374963,436775,531421,658705,775522,868233,925276
"溆浦县",254182,267073,224639,247431,253705,299541,345905,390895,497756,559430,603953,694821,880320,1031442,1144380,1147816
"会同县",127497,141374,117401,128927,140590,161924,153939,173861,218348,260289,259900,309821,390426,458827,515458,555672
"麻阳苗族自治县",94320,91038,86211,91490,98544,114555,140171,161416,195075,234570,269729,323219,407595,473879,533699,580821
"新晃侗族自治县",90560,90046,79459,76338,82417,91321,100693,121243,152250,191498,191408,251016,318041,378208,423804,454360
"芷江侗族自治县",112923,122859,124539,134948,149885,177665,191778,220459,284174,357028,397962,477491,603196,699248,787781,832155
"靖州苗族侗族自治县",117618,127193,120912,128758,142333,159048,154805,175821,223108,277013,293864,343569,430502,500770,562069,621183
"通道侗族自治县",48211,57254,49096,53243,57654,67761,76969,86807,107250,135767,155055,182118,227625,265325,294974,311837
"洪江市",134583,146864,141053,144368,158561,195138,222820,252537,312834,388578,411131,493846,624955,735553,823873,891988
"双峰县",435457,327491,340482,348059,373229,463152,492338,559655,722014,825155,832713,978463,1264234,1522463,1706893,1842089
"新化县",335083,263175,279240,295071,317497,368122,406032,454399,582252,682925,844810,985134,1238582,1494033,1687072,1870041
"冷水江市",296660,290157,313705,329432,387317,483731,642278,785484,956621,1179819,1250323,1489442,1826143,2124334,2364075,2535852
"涟源市",347178,323522,282408,301273,335600,417060,595019,710855,876146,1056428,1054658,1238718,1557045,1834020,2068079,2231332
"吉首市",160346.9,174491,191348,197598,210694,250421,343566,392301,475818,543826,621077,713216,863304,961465,1041179,1108189
"泸溪县",55285,57881,62602,68459,77610,92641,99790,121000,169331,217850,304264,371334,476907,487832,474720,525679
"凤凰县",72408,76233,83520,86374,98637,120818,130723,149778,193988,228738,298109,343614,416092,468116,541401,613612
"花垣县",54370,59598,66412,62544,73357,105294,172848,271101,374848,454570,475715,482955,544942,590588,582814,599590
"保靖县",50042,55750,62410,68594,78078,97380,123681,151268,200469,241732,304422,331105,373400,408791,359408,398382
"古丈县",24028,26139,28584,30016,33040,39081,49523,55132,65395,81999,92143,107002,128996,149041,172286,197895
"永顺县",84858,87711,94518,100879,110271,131023,145612,161766,197073,237696,269156,308755,372786,414209,466405,511064
