指标,地区,频度,单位,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
国内生产总值,桃江县,年,万元,200056,217210,214285,237161,263406,324957,416763,480416,600553,751288,893102,1065293,1311938,1516209,1684096,1880764
国内生产总值,安化县,年,万元,265019,288132,216851,234485,260956,327361,385125,440687,535554,633287,750570,885044,1117235,1322533,1464844,1628404
国内生产总值,沅江市,年,万元,319531,338836,331287,361874,403305,499855,573214,654909,798473,959635,994019,1231887,1527911,1760340,1951252,2176509
国内生产总值,桂阳县,年,万元,325924,358932,383942,400349,441863,534128,639425,756850,927802,1071430,1230015,1583783,2000242,2302318,2564619,2897962
国内生产总值,宜章县,年,万元,223808,247224,236169,275716,306130,386722,471742,547684,541101,648416,534129,682347,921012,1045521,1471860,1666622
国内生产总值,永兴县,年,万元,272602,300328,296873,316525,362060,448296,539727,630371,805122,974702,1095805,1518089,1888204,2138179,2377025,2668239
国内生产总值,嘉禾县,年,万元,156356,169892,168062,192915,210119,249585,299627,346927,411645,485843,539243,679210,850054,960819,1069380,1184550
国内生产总值,临武县,年,万元,129854,144273,157689,181640,218750,273454,342543,355890,419571,402487,462179,588575,723479,819107,903898,1002902
国内生产总值,汝城县,年,万元,121228,137071,143843,134510,167485,216608,285048,318563,300390,224454,204728,262807,333055,375595,419286,468475
国内生产总值,桂东县,年,万元,39696,42850,46116,51387,55546,67532,77387,89264,96309,108698,115161,137030,172991,195591,218764,245417
国内生产总值,安仁县,年,万元,140916,136120,123375,174394,199258,251311,295569,354258,302753,319851,275855,343095,437780,494121,602255,698497
国内生产总值,资兴市,年,万元,290311,318969,296985,327318,390300,492205,588009,655286,829552,1051324,1197369,1561434,1967476,2226103,2473685,2770768
国内生产总值,祁阳县,年,万元,384558,402679,356612,403469,466223,553193,636511,728352,878453,1011715,1071985,1285662,1587599,1770528,1965172,2186845
国内生产总值,东安县,年,万元,269275,294587,280492,294935,323702,377605,384185,439790,543377,626682,698912,836873,1026775,1149536,1271995,1386090
国内生产总值,双牌县,年,万元,67586,73017,66257,73168,82890,98484,127433,150441,162382,207607,224766,272826,334549,372799,407325,464533
国内生产总值,道县,年,万元,277592,290503,255453,278284,300957,348884,361494,414623,512890,600968,659592,791643,979556,1103406,1235709,1387282
国内生产总值,江永县,年,万元,96304,101067,109440,112791,129092,149587,149415,164771,201743,229625,237105,290446,355976,401225,444801,474774
国内生产总值,宁远县,年,万元,214030,235627,187480,217813,208115,245650,293099,335818,415321,489390,531210,635523,789722,898432,1005338,1092862
国内生产总值,蓝山县,年,万元,111542,120707,131398,122091,134389,163602,219288,253400,312715,363218,389784,470041,588130,662716,735176,810919
国内生产总值,新田县,年,万元,101639,106067,109125,107241,111543,130535,171405,192317,235814,271098,296590,340131,423861,477643,529462,575916
国内生产总值,江华瑶族自治县,年,万元,131559,128861,131845,124472,130784,150446,199021,229153,284039,351604,393999,470294,576450,655587,736431,846989
国内生产总值,中方县,年,万元,108978,118574,96828,102321,113105,137457,165394,188816,237188,324279,374768,488465,619370,733213,818503,861140
国内生产总值,沅陵县,年,万元,261010,264034,279168,319340,348620,397364,426733,486972,608254,705137,788953,953636,1192590,1415597,1557832,1639506
国内生产总值,辰溪县,年,万元,117978,121510,120463,130322,141674,166401,217756,251059,310443,374963,436775,531421,658705,775522,868233,925276
国内生产总值,溆浦县,年,万元,254182,267073,224639,247431,253705,299541,345905,390895,497756,559430,603953,694821,880320,1031442,1144380,1147816
国内生产总值,会同县,年,万元,127497,141374,117401,128927,140590,161924,153939,173861,218348,260289,259900,309821,390426,458827,515458,555672
国内生产总值,麻阳苗族自治县,年,万元,94320,91038,86211,91490,98544,114555,140171,161416,195075,234570,269729,323219,407595,473879,533699,580821
国内生产总值,新晃侗族自治县,年,万元,90560,90046,79459,76338,82417,91321,100693,121243,152250,191498,191408,251016,318041,378208,423804,454360
国内生产总值,芷江侗族自治县,年,万元,112923,122859,124539,134948,149885,177665,191778,220459,284174,357028,397962,477491,603196,699248,787781,832155
国内生产总值,靖州苗族侗族自治县,年,万元,117618,127193,120912,128758,142333,159048,154805,175821,223108,277013,293864,343569,430502,500770,562069,621183
国内生产总值,通道侗族自治县,年,万元,48211,57254,49096,53243,57654,67761,76969,86807,107250,135767,155055,182118,227625,265325,294974,311837
国内生产总值,洪江市,年,万元,134583,146864,141053,144368,158561,195138,222820,252537,312834,388578,411131,493846,624955,735553,823873,891988
国内生产总值,双峰县,年,万元,435457,327491,340482,348059,373229,463152,492338,559655,722014,825155,832713,978463,1264234,1522463,1706893,1842089
国内生产总值,新化县,年,万元,335083,263175,279240,295071,317497,368122,406032,454399,582252,682925,844810,985134,1238582,1494033,1687072,1870041
国内生产总值,冷水江市,年,万元,296660,290157,313705,329432,387317,483731,642278,785484,956621,1179819,1250323,1489442,1826143,2124334,2364075,2535852
国内生产总值,涟源市,年,万元,347178,323522,282408,301273,335600,417060,595019,710855,876146,1056428,1054658,1238718,1557045,1834020,2068079,2231332
国内生产总值,吉首市,年,万元,160346.9,174491,191348,197598,210694,250421,343566,392301,475818,543826,621077,713216,863304,961465,1041179,1108189
国内生产总值,泸溪县,年,万元,55285,57881,62602,68459,77610,92641,99790,121000,169331,217850,304264,371334,476907,487832,474720,525679
国内生产总值,凤凰县,年,万元,72408,76233,83520,86374,98637,120818,130723,149778,193988,228738,298109,343614,416092,468116,541401,613612
国内生产总值,花垣县,年,万元,54370,59598,66412,62544,73357,105294,172848,271101,374848,454570,475715,482955,544942,590588,582814,599590
国内生产总值,保靖县,年,万元,50042,55750,62410,68594,78078,97380,123681,151268,200469,241732,304422,331105,373400,408791,359408,398382
国内生产总值,古丈县,年,万元,24028,26139,28584,30016,33040,39081,49523,55132,65395,81999,92143,107002,128996,149041,172286,197895
国内生产总值,永顺县,年,万元,84858,87711,94518,100879,110271,131023,145612,161766,197073,237696,269156,308755,372786,414209,466405,511064
国内生产总值,龙山县,年,万元,114778,121223,128750,139461,144691,149132,167500,185459,229831,284280,324821,377382,437230,493358,551216,615634
国内生产总值,阳新县,年,亿元,,42.1,47.18,50.91,55.23,54.84,62.15,68.75,75.71,96.47,97.15,110.71,128.7,150.97,169.02,184.1
国内生产总值,大冶市,年,亿元,47,61.24,66.83,7.36,81.8,86.19,100.18,116.19,139.8,169.73,170.6,251.08,331.84,410.24,455.92,500.12
国内生产总值,郧县,年,亿元,,14.12,15.31,16.31,17.56,16.17,18.23,20.36,25.01,31.05,36.45,43.93,53.97,63.51,73.62,82.82
国内生产总值,郧西县,年,亿元,,8.35,9.32,11.04,12.48,14.15,15.48,17.17,19.35,23.89,26.51,33.28,40.43,46,53.19,59.04
国内生产总值,竹山县,年,亿元,,8.21,8.87,9.46,10.26,12.81,14.51,16.21,19.73,26.27,30.41,36,49.66,58.13,67.13,74.19
国内生产总值,竹溪县,年,亿元,,6.56,6.94,7.56,8.72,11.49,13.23,15.21,17.66,24.49,25.57,34.95,42.72,48.76,56.18,62.02
国内生产总值,房县,年,亿元,,10.23,10.86,11.64,12.29,13.18,13.58,16.3,19.32,24.49,29.13,35.72,43.77,52.75,60.68,66.08
国内生产总值,丹江口市,年,亿元,40.12,38.22,38.9,35.1,37.43,38.79,42.16,48.01,54.5,67.63,75.71,92.14,108.38,130.02,150.72,165.81
国内生产总值,夷陵区,年,亿元,,,81.29,89.91,91.5,52.68,63.37,74.66,88.04,111.23,140.44,182.2,264.19,335.09,389.84,441.24
